3	3	43	5
0	44	540	9000	0.3	0.5833	0.155
1	44	540	12000	0.4	0.5833	0.155
2	44	540	24000	0.6	0.5833	0.155
0	0	Depot	0	48.136	11.629	0	0	0	0	20	5	1	0
1	1016	1016	0	48.471	11.969	16634	15	2	0	20	5	1	610.6265400000001
2	1031	1031	0	47.879	11.933	3429	15	2	0	20	5	1	144.35799
3	1034	1034	0	47.842	12.349	4342	15	2	0	20	5	1	176.59601999999998
4	1035	1035	0	47.8	11.991	5407	15	2	0	20	5	1	214.20117
5	1041	1041	0	48.198	11.253	1976	15	1	0	20	5	1	93.05256
6	1045	1045	0	47.834	11.129	5801	15	2	0	20	5	1	228.11331000000004
7	1053	1053	0	48.593	13.089	1310	15	1	0	20	5	1	69.5361
8	1056	1056	0	48.929	12.671	1251	15	1	0	20	5	1	67.45281
9	1061	1061	0	48.786	12.529	2266	15	2	0	20	5	1	103.29245999999999
10	1062	1062	0	48.838	12.474	2369	15	3	0	20	5	1	106.92938999999998
11	1063	1063	0	48.9	12.478	1669	15	2	0	20	5	1	82.21239
12	1065	1065	0	49.029	12.999	4351	15	2	0	20	5	1	176.91381
13	1067	1067	0	48.188	12.375	2004	15	2	0	20	5	1	94.04124
14	1068	1068	0	48.216	12.411	8193	15	2	0	20	5	1	312.57482999999996
15	1070	1070	0	47.963	12.613	2576	15	1	0	20	5	1	114.23856
16	1076	1076	0	48.286	11.19	1501	15	1	0	20	5	1	76.28031000000001
17	1082	1082	0	48.626	11.43	9524	15	1	0	20	5	1	359.5724400000001
18	1084	1084	0	48.565	10.885	1742	15	2	0	20	5	1	84.79002
19	1088	1088	0	47.9	12.202	1055	15	1	0	20	5	1	60.53205000000001
20	1089	1089	0	47.898	12.222	2600	15	2	0	20	5	1	115.086
21	1091	1091	0	48.036	11.72	2201	15	2	0	20	5	1	100.99731
22	1102	1102	0	47.559	11.124	5275	15	1	0	20	5	1	209.54025
23	1115	1115	0	48.774	12.062	4864	15	2	0	20	5	1	195.02784000000003
24	1123	1123	0	48.502	11.605	2656	15	2	0	20	5	1	117.06336
25	1126	1126	0	48.212	11.177	2433	15	1	0	20	5	1	109.18923
26	1133	1133	0	48.196	11.857	3303	15	1	0	20	5	1	139.90893
27	1151	1151	0	48.081	11.275	1734	15	1	0	20	5	1	84.50754
28	1176	1176	0	47.878	11.931	3960	15	2	0	20	5	1	163.10760000000005
29	1177	1177	0	47.884	11.712	615	15	1	0	20	5	1	44.99565
30	1179	1179	0	48.894	12.606	3115	15	2	0	20	5	1	133.27065
31	1186	1186	0	47.855	11.149	591	15	1	0	20	5	1	44.14821000000001
32	1187	1187	0	47.783	11.05	3892	15	2	0	20	5	1	160.70651999999998
33	1204	1204	0	49.023	13.003	6841	15	2	0	20	5	1	264.83571000000006
34	1213	1213	0	48.193	11.469	2242	15	2	0	20	5	1	102.44502
35	1231	1231	0	47.843	11.036	1919	15	1	0	20	5	1	91.03989
36	1236	1236	0	47.781	11.676	5024	15	2	0	20	5	1	200.67744
37	1255	1255	0	47.851	12.546	650	15	1	0	20	5	1	46.2315
38	1273	1273	0	48.153	11.445	1071	15	1	0	20	5	1	61.09701
39	1313	1313	0	48.576	12.638	4306	15	1	0	20	5	1	175.32486000000003
40	1315	1315	0	47.852	11.491	2499	15	1	0	20	5	1	111.51969
41	1350	1350	0	47.853	11.493	2607	15	1	0	20	5	1	115.33317
42	1371	1371	0	48.169	12.142	1205	15	1	0	20	5	1	65.82855
43	1372	1372	0	48.859	12.439	802	15	1	0	20	5	1	51.59862
