;ID_Empfänger;lat;lon;avg_Gewicht;avg_Frequenz;Koordinaten;Distanz;Dauer;AF_Kosten
0;0;48.13635891257301;11.62868820669951;0.0;0.0;[11.62868820669951, 48.13635891257301];0.0;0.0;23.28
0;1016;48.4705256508735;11.968967912328598;16634.0;2.0;[11.968967912328598, 48.4705256508735];62.89076616245303;75.7445;610.62654
1;1034;47.841502304936895;12.349477640586901;4342.0;2.0;[12.349477640586901, 47.841502304936895];88.20362695829631;102.39466666666668;176.59602
2;1035;47.7999246151063;11.9911457982568;5407.0;2.0;[11.9911457982568, 47.7999246151063];64.64109615582692;71.0125;214.20117000000002
3;1041;48.198069540529794;11.253178542714698;1976.0;1.0;[11.253178542714698, 48.198069540529794];40.26726849291139;72.804;93.05256
4;1045;47.83355112179171;11.1293094424352;5801.0;2.0;[11.1293094424352, 47.83355112179171];70.32379098101302;97.80333333333333;228.11331000000004
5;1061;48.7860512960176;12.5293711810922;2266.0;2.0;[12.5293711810922, 48.7860512960176];137.5733078776387;141.696;103.29246
6;1062;48.838270806526005;12.4736837810935;2369.0;3.0;[12.4736837810935, 48.838270806526005];139.95382583774378;151.76666666666668;106.92939
7;1065;49.0294657403061;12.999065471302199;4351.0;2.0;[12.999065471302199, 49.0294657403061];198.40976159964183;196.697;176.91381
8;1067;48.1879619881005;12.375273298267;2004.0;2.0;[12.375273298267, 48.1879619881005];78.16863680262016;86.94166666666666;94.04124
9;1068;48.216481709153996;12.411457498267698;8193.0;2.0;[12.411457498267698, 48.216481709153996];82.44950566218358;78.20666666666666;312.57483
10;1082;48.6264162158559;11.430194798278599;9524.0;1.0;[11.430194798278599, 48.6264162158559];79.01870054105514;87.86999999999998;359.57244000000003
11;1115;48.7744450536313;12.061648972119501;4864.0;2.0;[12.061648972119501, 48.7744450536313];108.98507870754143;121.20683333333334;195.02784000000003
12;1123;48.5016472486383;11.604784084781802;2656.0;2.0;[11.604784084781802, 48.5016472486383];56.92044710416279;58.754;117.06336
13;1176;47.8776849032277;11.9308750424364;3960.0;2.0;[11.9308750424364, 47.8776849032277];51.165224669330094;69.90066666666667;163.10760000000002
14;1187;47.78295036219129;11.0495714829143;3892.0;2.0;[11.0495714829143, 47.78295036219129];81.80949072065155;110.381;160.70652
15;1204;49.02334945292029;13.0034792289731;6841.0;2.0;[13.0034792289731, 49.02334945292029];198.07636984341414;196.4505;264.83571000000006
16;1236;47.7810449109206;11.676370213598402;5024.0;2.0;[11.676370213598402, 47.7810449109206];55.534308670690095;68.59200000000001;200.67744
17;1313;48.5758579418939;12.6379757847837;4306.0;1.0;[12.6379757847837, 48.5758579418939];125.08674008878063;140.6405;175.32486000000003
